# Log started: 2023-01-02 00:59:49 +0100
[2023-01-02 00:59:49] ~↪ »RERUN« #FFFiesta Day 26 - FFXIII - A race through the series with @BGG02 - !Fiesta in chat for more information! (Final Fantasy XIII)~
[2023-01-02 00:59:49] Joining #sevensins..
[2023-01-02 09:28:49] <%XyFreak> it is an improved version of the geofront fan translation yeah
[2023-01-02 09:29:34] <%XyFreak> nah - they also ai upscaled the sprites etc
[2023-01-02 09:29:57] <%XyFreak> the game even runs at 144fps if you want it to LUL
[2023-01-02 09:30:11] VIEWERS: 139
[2023-01-02 09:30:16] <%XyFreak> so yeah no work has been done
[2023-01-02 09:30:47] <%XyFreak> erm
[2023-01-02 09:30:50] <%XyFreak> work has been done
[2023-01-02 09:30:52] <%XyFreak> ignore the no
[2023-01-02 09:31:04] <%Lonefellow> LUL
[2023-01-02 09:32:01] <%+ReimHikari> talking about trails of zero, it connects with sky?
[2023-01-02 09:32:11] VIEWERS: 139
[2023-01-02 09:33:04] <%Lonefellow> If there's one thing I like here compared to the Sphere grid it's that you don't have to return to the places you haven't activated the nodes to be able to reach them
[2023-01-02 09:34:11] Viewerstats (09:06-09:34): avg:115 min:93 max:162 [15/93+0+1+0+13+0+0+2+0+13+0+17+0+0+23]
[2023-01-02 09:34:11] VIEWERS: 162
[2023-01-02 09:34:59] <%Lonefellow> Let's say you skip nodes in the Sphere grid for whatever reason (or go the other way if there's a different path) - you have to then go back or use a teleport sphere to be able to reach the nodes
[2023-01-02 09:36:02] <%Lonefellow> Ah, never mind. It's too early for me too, I can't English this early LUL
[2023-01-02 09:36:11] VIEWERS: 162
[2023-01-02 09:38:11] VIEWERS: 162
[2023-01-02 09:39:14] <%Chobin64> 5 stars and a credt chip for that LuL
[2023-01-02 09:39:28] <%Chobin64> you cracked the code
[2023-01-02 09:40:11] VIEWERS: 162
[2023-01-02 09:42:11] VIEWERS: 164
[2023-01-02 09:43:44] <@%XyPara> critius Basically, hope all my libary unplayed in the intro is discord MrDestructoid
[2023-01-02 09:44:12] <%Lonefellow> Wut Para
[2023-01-02 09:44:13] <%TidusZecht> lol para
[2023-01-02 09:44:14] VIEWERS: 194
[2023-01-02 09:45:06] <blakey95uk> Hi para
[2023-01-02 09:45:18] <blakey95uk> Hi seven and chat
[2023-01-02 09:45:23] <%Lonefellow> Yo Blakey
[2023-01-02 09:45:37] <%$FFyte> how's 13 treating you?
[2023-01-02 09:46:16] VIEWERS: 194
[2023-01-02 09:46:47] <%ooKaballoo> good morning!
[2023-01-02 09:48:16] VIEWERS: 201
[2023-01-02 09:48:51] <%Lonefellow> Speaking of 12 - it is crazy how much Belias is carrying me early game in the solo playthrough. He wrecked Rocktoise in like 4 painflares.
[2023-01-02 09:48:53] <MultiSayto> thorlarHey
[2023-01-02 09:50:16] VIEWERS: 201
[2023-01-02 09:50:52] <%$FFyte> immune to one of your characters sevenLUL
[2023-01-02 09:51:00] <%Neobullseye>* sets the ridiculously oversized airship thing on fire.
[2023-01-02 09:51:31] <chavadlc> Inmune to lightning, lightning jumps from ship
[2023-01-02 09:51:50] <%Neobullseye> I guess he rolled a 1 on his accuracy check?
[2023-01-02 09:52:06] <%Neobullseye> #XCOM
[2023-01-02 09:52:16] VIEWERS: 212
[2023-01-02 09:52:19] <@%+Mike410459> That or hes just shooting blanks.
[2023-01-02 09:52:57] <%Lonefellow> She has a jaw?
[2023-01-02 09:53:02] <%Lonefellow> Kappa
[2023-01-02 09:53:18] <chavadlc> Vanille sounds like she is having sex every time she opens her mouth
[2023-01-02 09:53:35] <MultiSayto> Hi Seven. I'm fine. Liteally just woke up 10 minutes ago. Just had my first cup of coffee. BTW FF Xiii looks fun to play. Thinking of getting the game myself.
[2023-01-02 09:54:16] VIEWERS: 212
[2023-01-02 09:54:37] <%Lonefellow> It is, mostly because the game prevents overgrinding
[2023-01-02 09:55:20] <%TidusZecht> you dont even have SeeD pay
[2023-01-02 09:56:09] <chavadlc> I like the gameplay of this game, i just don’t like most of the characters and i feel the story is a mess or too complicated for me maybe. Never cared of what was going on in the end
[2023-01-02 09:56:16] VIEWERS: 222
[2023-01-02 09:56:49] BITS: Neobullseye (111)
[2023-01-02 09:56:49] <%Neobullseye> Cheer111 And now I'm imagining Vanille getting released from the crystal... and then  unceremonously dropping several floors down instead of gently floating to the ground.
[2023-01-02 09:57:56] <@%+Mike410459> The most confusing with this game is the terms, there are alot and the important SL ones sound the same.
[2023-01-02 09:57:56] <%TidusZecht> CODE GREEN! CODE RED! CODE PURPLE! CODE CODE! CODE MOUNTAIN DEW!
[2023-01-02 09:58:16] VIEWERS: 222
[2023-01-02 09:58:52] <%Neobullseye> Code brown! No, wait, that's after Taco Tuesdays.
[2023-01-02 09:59:08] <MultiSayto> well... I played every FF up to Reveant Wings , excluding Xi I never had the chance to play.
[2023-01-02 09:59:26] <chavadlc> Also i just liked lightning and Sazh, there other characters where so badly developed imo, probably one of the worst main characters in a FF to me
[2023-01-02 09:59:47] <stalkor> Seven “guybrush” sins
[2023-01-02 10:00:16] VIEWERS: 231
[2023-01-02 10:00:33] <stalkor> Really? Wow
[2023-01-02 10:00:39] <%TidusZecht> demon chocobo you say?
[2023-01-02 10:00:46] <stalkor> Its a great series
[2023-01-02 10:01:01] <Skyblueaqua> I just got here, what this about Spanish? I speak spanish HahaBall
[2023-01-02 10:02:16] VIEWERS: 231
[2023-01-02 10:02:20] <%+ReimHikari> same here LUL
[2023-01-02 10:02:30] <stalkor> He was quoting “el pollo diablo” from a game
[2023-01-02 10:02:34] <%Neobullseye> Uh, I uh... Uh.... Que si, que no?
[2023-01-02 10:02:45] <Skyblueaqua> What's up Seven? is this the return to midgar or whereever? HahaCat
[2023-01-02 10:02:57] <%+ReimHikari> @Neobullseye que nunca te decides?
[2023-01-02 10:02:59] <%+ReimHikari> LUL
[2023-01-02 10:03:24] <Skyblueaqua> @stalkor ah chicken satan LUL
[2023-01-02 10:03:47] <%Neobullseye> Why can't Vanille have that weapon all the time?
[2023-01-02 10:04:10] <%Neobullseye> Dagnabbit :(
[2023-01-02 10:04:17] Viewerstats (09:36-10:04): avg:200 min:162 max:235 [15/162+0+0+2+30+0+7+0+11+0+10+0+9+0+4]
[2023-01-02 10:04:17] VIEWERS: 235
