# Log started: 2023-01-03 00:01:09 +0100
[2023-01-03 00:01:09] <%+Demonic_Vortex_Oni> sevenCool
[2023-01-03 09:05:05] <Kuroh> AYAYA Seven & chat
[2023-01-03 09:05:17] <~%SevenSins> i made my discord crash messing with mike
[2023-01-03 09:05:19] <~%SevenSins> rip lol
[2023-01-03 09:05:32] <~%SevenSins> go ahead @Mike410459 xD
[2023-01-03 09:06:03] VIEWERS: 85
[2023-01-03 09:06:08] <%Amylou14> LOL
[2023-01-03 09:07:15] <@%+Mike410459> Seven I was wondering wtf you were doing
[2023-01-03 09:08:03] VIEWERS: 85
[2023-01-03 09:08:07] <~%SevenSins> fucking with ya
[2023-01-03 09:08:08] <~%SevenSins> xD
[2023-01-03 09:09:00] <%Neobullseye> So rude :(
[2023-01-03 09:09:55] <%TidusZecht> you fuck with everyone every day neo Kappa
[2023-01-03 09:10:04] VIEWERS: 86
[2023-01-03 09:10:49] <~%SevenSins> ha
[2023-01-03 09:11:00] <~%SevenSins> NU HOOR JE HET OOK EENS VAN EEN ANDER Kappa
[2023-01-03 09:12:03] <%XyFreak> sevenWave
[2023-01-03 09:12:04] Viewerstats (08:43-09:12): avg:116 min:85 max:138 [14/121+8+0+8+0+0−5+6+0_85+0+0+1+0]
[2023-01-03 09:12:04] VIEWERS: 86
[2023-01-03 09:12:05] <@%+Mike410459> Neo is straight forward though. He just sets you on fire.
[2023-01-03 09:12:15] <~%SevenSins> sevenKEK
[2023-01-03 09:13:16] <@%Eymas> wat nu weer? / what now?
[2023-01-03 09:13:20] <@%Eymas> also sevenWave
[2023-01-03 09:13:54] <%wee_wah> Is this a rerun? 4Head
[2023-01-03 09:14:04] VIEWERS: 86
[2023-01-03 09:14:26] <%TidusZecht> I'M SO EXCITE!
[2023-01-03 09:14:40] <%Lonefellow> G'mornin'! sevenHype
[2023-01-03 09:15:31] <%XyFreak> This is a indeed a rerun with pre-recorded chat Kappa
[2023-01-03 09:16:04] VIEWERS: 117
[2023-01-03 09:16:05] <+Satorius123> KEKW
[2023-01-03 09:16:59] <%Neobullseye>* sets the prerecorded chat on fire.
[2023-01-03 09:17:03] <%wee_wah> PepoSabers
[2023-01-03 09:18:04] VIEWERS: 117
[2023-01-03 09:18:12] <%wee_wah> Hey Seven make sure your audio isn't muted again today :)
[2023-01-03 09:19:06] <%TidusZecht> video is live, chat is pre-recorded. as always lol
[2023-01-03 09:19:39] <@%+Mike410459> Not all of chat is pre-recorded. When Para comments thats real time.
[2023-01-03 09:20:04] VIEWERS: 115
[2023-01-03 09:20:23] <%$Xanster> PepoSabers  xar2EDM  PepoSabers  xar2EDM  xar2EDM  PepoSabers  xar2EDM
[2023-01-03 09:20:34] <%$Xanster> Good Morning
[2023-01-03 09:20:41] <%TidusZecht> !quote
